filename,label,triggers
KC.TARG..HHZ_2024-02-26T14_18_41.521_2024-02-26T14_22_41.521.mseed,1,"[[8030, 8955], [9493, 10021], [11905, 13608]]"
KC.TARG..HHZ_2024-02-04T01_17_15.333_2024-02-04T01_21_15.333.mseed,1,"[[2155, 2634], [5723, 6037], [11738, 12942], [13113, 13611]]"
KC.TARG..HHZ_2024-01-31T19_19_42.729_2024-01-31T19_23_42.729.mseed,1,"[[4505, 5582], [5771, 6307], [11896, 12654], [13089, 13686]]"
KC.TARG..HHZ_2024-02-03T16_33_03.399_2024-02-03T16_37_03.399.mseed,1,"[[7316, 7413], [11791, 12420], [13075, 13673]]"
KC.TARG..HHZ_2024-02-23T10_31_21.930_2024-02-23T10_35_21.930.mseed,1,"[[4096, 5164], [11987, 12874], [13072, 13524]]"
KC.TARG..HHZ_2024-02-25T04_13_13.963_2024-02-25T04_17_13.963.mseed,1,"[[2831, 3743], [4267, 4473], [11892, 13720]]"
KC.TARG..HHZ_2024-02-23T22_57_13.177_2024-02-23T23_01_13.177.mseed,1,"[[4847, 5111], [11117, 11259], [11788, 12365], [13006, 13651]]"
KC.TARG..HHZ_2024-01-25T19_59_45.131_2024-01-25T20_03_45.131.mseed,1,"[[4464, 5111], [5586, 6014], [11986, 12942], [13344, 13906]]"
KC.TARG..HHZ_2024-02-28T01_16_06.231_2024-02-28T01_20_06.231.mseed,1,"[[5139, 5381], [11457, 13377]]"
KC.TARG..HHZ_2024-01-22T18_12_30.954_2024-01-22T18_16_30.954.mseed,1,"[[5534, 5786], [11547, 11889], [11958, 13521]]"
KC.TARG..HHZ_2024-01-23T00_20_45.455_2024-01-23T00_24_45.455.mseed,1,"[[6675, 7794], [7914, 8706], [11935, 13738]]"
KC.TARG..HHZ_2024-01-24T04_56_43.913_2024-01-24T05_00_43.913.mseed,1,"[[2579, 3092], [5173, 5588], [11808, 12527], [13052, 13488]]"
KC.TARG..HHZ_2024-01-23T11_05_21.964_2024-01-23T11_09_21.964.mseed,1,"[[5094, 6716], [11996, 12784], [13120, 13599]]"
KC.TARG..HHZ_2024-01-24T21_48_26.965_2024-01-24T21_52_26.965.mseed,1,"[[3790, 4384], [4900, 5610], [6344, 6766], [9770, 10309], [10904, 11288], [11861, 12542], [13070, 13495]]"
KC.TARG..HHZ_2023-04-11T17_06_38.894_2023-04-11T17_10_38.894.mseed,1,"[[11493, 12783]]"
KC.TARG..HHZ_2024-01-23T01_56_48.130_2024-01-23T02_00_48.130.mseed,1,"[[12037, 12692], [13294, 13555]]"
KC.TARG..HHZ_2024-01-23T19_18_35.551_2024-01-23T19_22_35.551.mseed,1,"[[9867, 10295], [10699, 11588], [11795, 13540]]"
KC.TARG..HHZ_2024-01-23T13_45_33.096_2024-01-23T13_49_33.096.mseed,1,"[[11942, 13639]]"
KC.TARG..HHZ_2024-01-24T15_02_32.405_2024-01-24T15_06_32.405.mseed,1,"[[11947, 12310], [13149, 13537]]"
KC.TARG..HHZ_2024-01-22T22_18_19.987_2024-01-22T22_22_19.987.mseed,1,"[[5285, 5465], [8926, 10577], [11762, 13392]]"
KC.TARG..HHZ_2024-01-24T16_18_30.224_2024-01-24T16_22_30.224.mseed,1,"[[3077, 3510], [8629, 11187], [11861, 12479], [13075, 13484]]"
KC.TARG..HHZ_2024-01-22T21_36_53.916_2024-01-22T21_40_53.916.mseed,1,"[[11241, 11552], [12006, 13839]]"
KC.TARG..HHZ_2024-01-22T21_19_18.711_2024-01-22T21_23_18.711.mseed,1,"[[2244, 2516], [3938, 4082], [10739, 11175], [11985, 12743], [13090, 13644]]"
KC.TARG..HHZ_2024-01-22T20_46_50.573_2024-01-22T20_50_50.573.mseed,1,"[[7306, 8978], [11921, 12610], [13122, 13639]]"
KC.TARG..HHZ_2024-01-23T04_29_18.679_2024-01-23T04_33_18.679.mseed,1,"[[5798, 6424], [6921, 7376], [11759, 12429], [13135, 13526], [20412, 21264], [21542, 21928]]"
KC.TARG..HHZ_2024-01-23T11_29_51.312_2024-01-23T11_33_51.312.mseed,1,"[[5137, 5485], [6068, 6407], [8478, 8824], [9109, 9757], [10518, 10851], [11823, 12442], [13078, 13706]]"
KC.TARG..HHZ_2024-01-22T21_23_59.164_2024-01-22T21_27_59.164.mseed,1,"[[9144, 9507], [11600, 12595], [13084, 13250], [13348, 13503], [18891, 19041], [22843, 23293]]"
KC.TARG..HHZ_2024-01-24T14_59_36.470_2024-01-24T15_03_36.470.mseed,1,"[[4663, 6468], [8649, 9143], [9828, 10311], [11962, 12734], [13110, 13783]]"
KC.TARG..HHZ_2024-01-23T04_24_04.857_2024-01-23T04_28_04.857.mseed,1,"[[2926, 3461], [4229, 4558], [11815, 12388], [13216, 13669]]"
KC.TARG..HHZ_2024-01-22T20_55_29.740_2024-01-22T20_59_29.740.mseed,1,"[[2778, 3245], [9520, 9794], [10234, 10493], [11891, 13761]]"
KC.TARG..HHZ_2024-01-23T01_38_39.465_2024-01-23T01_42_39.465.mseed,1,"[[3661, 3879], [11782, 12567], [13121, 13619]]"
KC.TARG..HHZ_2024-01-24T20_33_26.077_2024-01-24T20_37_26.077.mseed,1,"[[11775, 13613]]"
KC.TARG..HHZ_2024-01-22T21_10_57.199_2024-01-22T21_14_57.199.mseed,1,"[[8704, 9070], [12038, 12900], [13057, 13541], [18207, 18566]]"
KC.TARG..HHZ_2024-01-22T23_17_42.719_2024-01-22T23_21_42.719.mseed,1,"[[4423, 4690], [4754, 6216], [11619, 12923], [13146, 13597]]"
KC.TARG..HHZ_2024-01-23T01_16_57.640_2024-01-23T01_20_57.640.mseed,1,"[[2049, 2987], [3331, 3675], [6466, 8229], [11102, 11658], [11982, 13067], [13268, 14146]]"
KC.TARG..HHZ_2024-01-23T09_45_36.396_2024-01-23T09_49_36.396.mseed,1,"[[4325, 4881], [5556, 5817], [9575, 9947], [10699, 10978], [11886, 12485], [13135, 13516]]"
KC.TARG..HHZ_2024-01-24T18_43_34.143_2024-01-24T18_47_34.143.mseed,1,"[[6368, 8061], [11732, 13363]]"
KC.TARG..HHZ_2024-01-22T20_07_02.809_2024-01-22T20_11_02.809.mseed,1,"[[3408, 4017], [4558, 4872], [11990, 12771], [13131, 13636], [20621, 21144], [23798, 23999]]"
KC.TARG..HHZ_2024-01-22T20_27_47.167_2024-01-22T20_31_47.167.mseed,1,"[[10732, 11055], [11797, 12695], [13089, 13633], [21055, 21660]]"
KC.TARG..HHZ_2024-01-23T13_34_38.402_2024-01-23T13_38_38.402.mseed,1,"[[9549, 11567], [11914, 12693], [13147, 13702], [19258, 20756]]"
KC.TARG..HHZ_2024-01-22T22_54_56.779_2024-01-22T22_58_56.779.mseed,1,"[[3730, 4320], [4910, 5319], [9737, 11214], [11883, 12236], [13063, 13477]]"
KC.TARG..HHZ_2023-02-26T21_40_42.786_2023-02-26T21_44_42.786.mseed,1,"[[3804, 3929], [10452, 10800], [12060, 13626], [14361, 15140]]"
KC.TARG..HHZ_2024-01-23T02_09_38.611_2024-01-23T02_13_38.611.mseed,1,"[[11982, 12316], [13131, 13550]]"
KC.TARG..HHZ_2024-01-23T03_59_38.480_2024-01-23T04_03_38.480.mseed,1,"[[9411, 11009], [11932, 13790]]"
KC.TARG..HHZ_2023-09-30T21_28_20.728_2023-09-30T21_32_20.728.mseed,1,"[[8271, 8406], [10261, 10484], [11750, 13089]]"
KC.TARG..HHZ_2024-01-23T19_38_29.223_2024-01-23T19_42_29.223.mseed,1,"[[3085, 3762], [4305, 4726], [11954, 13613]]"
KC.TARG..HHZ_2024-01-24T09_41_37.703_2024-01-24T09_45_37.703.mseed,1,"[[2688, 3225], [6023, 6619], [7518, 8001], [11926, 12738], [13182, 13772], [21030, 21372], [22297, 22539]]"
KC.TARG..HHZ_2024-01-23T04_19_39.574_2024-01-23T04_23_39.574.mseed,1,"[[7416, 7597], [9687, 10156], [11870, 13866]]"
KC.TARG..HHZ_2023-11-07T19_44_38.683_2023-11-07T19_48_38.683.mseed,1,"[[11803, 14508], [14851, 15076]]"
KC.TARG..HHZ_2024-01-22T18_15_21.762_2024-01-22T18_19_21.762.mseed,1,"[[9374, 9790], [12028, 12396], [12727, 13700]]"
KC.TARG..HHZ_2023-01-13T12_29_16.276_2023-01-13T12_33_16.276.mseed,1,"[[2535, 2910], [6366, 6563], [8982, 9082], [10078, 10474], [12316, 13504], [16348, 16658]]"
KC.TARG..HHZ_2023-06-01T15_58_40.264_2023-06-01T16_02_40.264.mseed,1,"[[3503, 3664], [4217, 4396], [11881, 12818], [13939, 14578], [22029, 22134]]"
KC.TARG..HHZ_2024-01-22T21_14_59.988_2024-01-22T21_18_59.988.mseed,1,"[[3244, 3660], [4321, 4795], [11920, 12787], [13072, 13470]]"
KC.TARG..HHZ_2024-01-22T21_41_22.076_2024-01-22T21_45_22.076.mseed,1,"[[6247, 6547], [9617, 10001], [11726, 12913], [13170, 13620]]"
KC.TARG..HHZ_2024-01-25T01_22_49.938_2024-01-25T01_26_49.938.mseed,1,"[[5430, 7131], [11030, 11379], [11882, 12595], [13153, 13635]]"
KC.TARG..HHZ_2023-02-26T23_56_31.628_2023-02-27T00_00_31.628.mseed,1,"[[2792, 2974], [7977, 8314], [12020, 13363], [14254, 14995]]"
KC.TARG..HHZ_2024-01-22T22_07_15.347_2024-01-22T22_11_15.347.mseed,1,"[[4241, 4981], [11953, 13647]]"
KC.TARG..HHZ_2024-01-24T03_54_42.730_2024-01-24T03_58_42.730.mseed,1,"[[1999, 3754], [11872, 12609], [13092, 13519]]"
KC.TARG..HHZ_2024-01-23T09_05_28.272_2024-01-23T09_09_28.272.mseed,1,"[[11818, 12641], [13204, 13640]]"
KC.TARG..HHZ_2023-11-07T18_13_28.316_2023-11-07T18_17_28.316.mseed,1,"[[11876, 14365]]"
KC.TARG..HHZ_2023-11-15T14_16_26.597_2023-11-15T14_20_26.597.mseed,1,"[[4157, 4571], [11177, 11413], [12366, 14372], [17434, 18061]]"
KC.TARG..HHZ_2024-01-24T02_52_20.260_2024-01-24T02_56_20.260.mseed,1,"[[11884, 12382], [13106, 13526], [23914, 23999]]"
KC.TARG..HHZ_2023-11-07T18_50_24.293_2023-11-07T18_54_24.293.mseed,1,"[[3881, 5390], [5615, 7201], [7881, 8255], [11887, 13708], [13935, 14334]]"
KC.TARG..HHZ_2024-01-25T01_11_53.616_2024-01-25T01_15_53.616.mseed,1,"[[6186, 6946], [7508, 7827], [11655, 12248], [12847, 13500]]"
KC.TARG..HHZ_2024-01-23T20_36_29.288_2024-01-23T20_40_29.288.mseed,1,"[[6951, 7138], [11843, 12679], [12835, 13018], [13181, 13766]]"
KC.TARG..HHZ_2024-01-23T23_26_03.045_2024-01-23T23_30_03.045.mseed,1,"[[2802, 3518], [3941, 4414], [9492, 9806], [10533, 10952], [11940, 13643]]"
KC.TARG..HHZ_2024-01-23T22_21_43.533_2024-01-23T22_25_43.533.mseed,1,"[[10808, 11493], [11658, 12447], [12826, 13312]]"
KC.TARG..HHZ_2024-01-23T06_39_26.306_2024-01-23T06_43_26.306.mseed,1,"[[2666, 3367], [10245, 13783]]"
KC.TARG..HHZ_2024-01-22T23_42_43.648_2024-01-22T23_46_43.648.mseed,1,"[[3145, 4160], [4455, 4836], [9213, 10719], [11994, 12477], [13090, 13392], [22866, 23999]]"
KC.TARG..HHZ_2024-01-22T23_01_41.321_2024-01-22T23_05_41.321.mseed,1,"[[7077, 7828], [11999, 13650]]"
KC.TARG..HHZ_2024-01-24T02_14_49.024_2024-01-24T02_18_49.024.mseed,1,"[[2153, 3439], [11868, 13684]]"
KC.TARG..HHZ_2024-01-24T20_03_19.120_2024-01-24T20_07_19.120.mseed,1,"[[2931, 4825], [10148, 10560], [11277, 11536], [11908, 12507], [13315, 13934]]"
KC.TARG..HHZ_2023-01-27T00_08_50.974_2023-01-27T00_12_50.974.mseed,1,"[[12060, 13036]]"
KC.TARG..HHZ_2024-01-23T19_09_56.907_2024-01-23T19_13_56.907.mseed,1,"[[5687, 6074], [11895, 13636]]"
KC.TARG..HHZ_2023-03-31T19_50_52.424_2023-03-31T19_54_52.424.mseed,1,"[[10963, 11122], [11864, 12319]]"
KC.TARG..HHZ_2024-01-23T00_05_05.692_2024-01-23T00_09_05.692.mseed,1,"[[1999, 2650], [3135, 3608], [11071, 11689], [11976, 12645], [13172, 13531], [17238, 17588]]"
KC.TARG..HHZ_2024-01-23T14_07_09.336_2024-01-23T14_11_09.336.mseed,1,"[[4221, 4823], [5424, 5830], [9306, 10857], [11958, 12792], [13115, 13742]]"
KC.TARG..HHZ_2024-01-24T01_57_30.144_2024-01-24T02_01_30.144.mseed,1,"[[8075, 8895], [9341, 9817], [10070, 10861], [11178, 11587], [11950, 12750], [13199, 13672]]"
KC.TARG..HHZ_2024-01-22T18_07_19.719_2024-01-22T18_11_19.719.mseed,1,"[[11883, 13558], [13701, 13894]]"
KC.TARG..HHZ_2024-01-24T00_13_46.823_2024-01-24T00_17_46.823.mseed,1,"[[2316, 2753], [3174, 5631], [11764, 12566], [12958, 13700]]"
KC.TARG..HHZ_2024-01-22T21_47_30.579_2024-01-22T21_51_30.579.mseed,1,"[[5997, 6191], [11888, 12612], [13082, 13553], [21016, 22809]]"
KC.TARG..HHZ_2023-05-16T21_55_01.902_2023-05-16T21_59_01.902.mseed,1,"[[2338, 2501], [10280, 10826], [12326, 13529], [15560, 16150]]"
KC.TARG..HHZ_2023-05-31T07_11_15.799_2023-05-31T07_15_15.799.mseed,1,"[[11889, 13123], [13998, 14515]]"
KC.TARG..HHZ_2024-01-23T02_56_53.495_2024-01-23T03_00_53.495.mseed,1,"[[2323, 2952], [9243, 10276], [10421, 10814], [12093, 12414], [13123, 13547], [23763, 23999]]"
KC.TARG..HHZ_2024-01-23T01_41_31.670_2024-01-23T01_45_31.670.mseed,1,"[[7874, 8758], [9065, 9509], [11930, 12622], [13127, 13855]]"
KC.TARG..HHZ_2024-01-25T01_42_06.231_2024-01-25T01_46_06.231.mseed,1,"[[11809, 12604], [13020, 13516]]"
KC.TARG..HHZ_2024-01-22T19_58_09.125_2024-01-22T20_02_09.125.mseed,1,"[[5392, 6118], [6563, 7156], [11971, 13704], [23548, 23999]]"
KC.TARG..HHZ_2024-01-23T23_48_20.458_2024-01-23T23_52_20.458.mseed,1,"[[8152, 8810], [9340, 9816], [11934, 12455], [13115, 13338]]"
KC.TARG..HHZ_2024-01-24T02_37_30.980_2024-01-24T02_41_30.980.mseed,1,"[[5109, 5571], [6205, 6607], [9303, 9535], [12127, 13456], [14637, 14950]]"
KC.TARG..HHZ_2024-01-23T00_10_56.236_2024-01-23T00_14_56.236.mseed,1,"[[4809, 5167], [6170, 6610], [7278, 7763], [11853, 12607], [13033, 13423]]"
KC.TARG..HHZ_2023-11-07T18_08_11.819_2023-11-07T18_12_11.819.mseed,1,"[[11942, 13719], [14145, 14708]]"
KC.TARG..HHZ_2024-01-24T19_58_11.542_2024-01-24T20_02_11.542.mseed,1,"[[2133, 3817], [9032, 9532], [11941, 12643], [13155, 13607]]"
KC.TARG..HHZ_2024-01-23T23_52_54.443_2024-01-23T23_56_54.443.mseed,1,"[[11849, 12555]]"
KC.TARG..HHZ_2023-11-07T19_32_42.313_2023-11-07T19_36_42.313.mseed,1,"[[4231, 4364], [11814, 13080], [13219, 13553], [13716, 14221]]"
KC.TARG..HHZ_2024-01-22T21_02_34.285_2024-01-22T21_06_34.285.mseed,1,"[[4629, 5382], [6319, 6952], [7424, 7761], [11957, 13852], [23999, 23999]]"
KC.TARG..HHZ_2024-01-24T22_20_06.145_2024-01-24T22_24_06.145.mseed,1,"[[6390, 6638], [11761, 12661], [13188, 13871]]"
KC.TARG..HHZ_2024-01-23T17_23_59.869_2024-01-23T17_27_59.869.mseed,1,"[[11867, 12788], [23082, 23776]]"
KC.TARG..HHZ_2024-01-23T04_11_47.319_2024-01-23T04_15_47.319.mseed,1,"[[11014, 12687], [13092, 13366]]"
KC.TARG..HHZ_2024-01-24T01_33_34.990_2024-01-24T01_37_34.990.mseed,1,"[[6346, 6444], [6568, 8196], [11917, 13562]]"
KC.TARG..HHZ_2024-01-23T12_07_46.840_2024-01-23T12_11_46.840.mseed,1,"[[8134, 8311], [11972, 12634], [13356, 13647]]"
KC.TARG..HHZ_2024-01-23T10_04_13.911_2024-01-23T10_08_13.911.mseed,1,"[[10133, 13759]]"
KC.TARG..HHZ_2024-01-23T21_48_59.252_2024-01-23T21_52_59.252.mseed,1,"[[4981, 5541], [6391, 7093], [7666, 8147], [11875, 13600]]"
KC.TARG..HHZ_2024-01-24T17_47_24.049_2024-01-24T17_51_24.049.mseed,1,"[[5759, 6103], [9674, 10454], [10776, 11588], [11902, 12625], [13159, 13263]]"
KC.TARG..HHZ_2024-01-22T22_38_41.495_2024-01-22T22_42_41.495.mseed,1,"[[5408, 6205], [6383, 7398], [7496, 7818], [11919, 12627], [13083, 13461], [23697, 23969]]"
KC.TARG..HHZ_2024-01-24T19_31_38.397_2024-01-24T19_35_38.397.mseed,1,"[[2511, 4436], [11863, 13932]]"
KC.TARG..HHZ_2024-01-23T07_17_34.140_2024-01-23T07_21_34.140.mseed,1,"[[2627, 3338], [3886, 4448], [11824, 12412], [13046, 13344]]"
QZ.TLG.00.HHZ_2024-01-24T09_42_00.626_2024-01-24T09_46_00.626.mseed,1,"[[12343, 13032], [15501, 16168]]"
QZ.TLG.00.HHZ_2024-01-24T21_48_49.227_2024-01-24T21_52_49.227.mseed,1,"[[8438, 9035], [10291, 10551], [12372, 12936], [15633, 16289]]"
QZ.TLG.00.HHZ_2024-01-25T08_58_38.619_2024-01-25T09_02_38.619.mseed,1,"[[6422, 7456], [9654, 10384], [12297, 12873], [15498, 16294]]"
QZ.TLG.00.HHZ_2024-01-27T05_28_06.158_2024-01-27T05_32_06.158.mseed,1,"[[3160, 3788], [12356, 13266], [15939, 16404]]"
QZ.TLG.00.HHZ_2024-01-26T08_16_37.664_2024-01-26T08_20_37.664.mseed,1,"[[12343, 13152], [15540, 16243]]"
QZ.TLG.00.HHZ_2024-02-03T13_25_05.482_2024-02-03T13_29_05.482.mseed,1,"[[12367, 13187], [15599, 16331]]"
QZ.TLG.00.HHZ_2024-02-26T12_27_21.352_2024-02-26T12_31_21.352.mseed,1,"[[12335, 13060], [15578, 16445]]"
QZ.TLG.00.HHZ_2024-02-27T14_16_37.961_2024-02-27T14_20_37.961.mseed,1,"[[12355, 12862], [15505, 16282]]"
QZ.TLG.00.HHZ_2024-01-25T01_23_12.501_2024-01-25T01_27_12.501.mseed,1,"[[6034, 6421], [9168, 9491], [12350, 13036], [15630, 16279]]"
QZ.TLG.00.HHZ_2024-01-25T20_00_05.762_2024-01-25T20_04_05.762.mseed,1,"[[12354, 13431], [15532, 16099]]"
QZ.TLG.00.HHZ_2024-01-24T20_33_46.593_2024-01-24T20_37_46.593.mseed,1,"[[3590, 3730], [12305, 13172], [15398, 16048]]"
QZ.TLG.00.HHZ_2024-01-26T15_59_08.776_2024-01-26T16_03_08.776.mseed,1,"[[12453, 13222], [15667, 16374]]"
QZ.TLG.00.HHZ_2024-01-24T15_02_55.631_2024-01-24T15_06_55.631.mseed,1,"[[9179, 9580], [12388, 12972], [15562, 16126]]"
QZ.TLG.00.HHZ_2024-02-21T07_02_43.218_2024-02-21T07_06_43.218.mseed,1,"[[7041, 7256], [10205, 10455], [12288, 13392], [16178, 17155]]"
QZ.TLG.00.HHZ_2024-01-31T19_20_04.038_2024-01-31T19_24_04.038.mseed,1,"[[5133, 6039], [8303, 9048], [12329, 12942], [15354, 15947]]"
QZ.TLG.00.HHZ_2024-01-29T21_02_01.548_2024-01-29T21_06_01.548.mseed,1,"[[12396, 13201], [15632, 16044], [16140, 16262]]"
QZ.TLG.00.HHZ_2024-01-29T23_29_31.663_2024-01-29T23_33_31.663.mseed,1,"[[5844, 6538], [9041, 9927], [12409, 13198], [15644, 16594], [22444, 22547]]"
QZ.TLG.00.HHZ_2024-01-24T19_58_33.978_2024-01-24T20_02_33.978.mseed,1,"[[5655, 5940], [11086, 11516], [12425, 13137], [15638, 16419]]"
QZ.TLG.00.HHZ_2024-01-29T23_15_45.480_2024-01-29T23_19_45.480.mseed,1,"[[12352, 13211], [15638, 16267]]"
QZ.TLG.00.HHZ_2024-02-18T08_57_52.605_2024-02-18T09_01_52.605.mseed,1,"[[12288, 13361], [15380, 15928]]"
QZ.TLG.00.HHZ_2024-02-21T18_25_21.542_2024-02-21T18_29_21.542.mseed,1,"[[12380, 13030], [15401, 16049]]"
